BusinessYear,StateCode,IssuerId,SourceName,ImportDate,NetworkName,NetworkId,NetworkURL,MarketCoverage,DentalOnlyPlan
2026,AZ,66105,HIOS,2025-10-15,HumanaDental PPO/Traditional Preferred,AZN001,https://www.humana.com/finder/search?customerId=1085&pfpkey=317,Individual,Yes
2026,AZ,68445,HIOS,2025-11-25,Antidote Arizona Network One,AZN001,http://antidotehealth.com/insurance/find-provider/az-2026,Individual,No
2026,AZ,77352,HIOS,2025-11-10,BEST Life and Health National Network,AZN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,AZ,82011,HIOS,2025-10-15,Smile Now Arizona - PPO,AZN012,https://www.solsticecare.com/provider-search.aspx,Individual,Yes
2026,AZ,85533,HIOS,2025-11-04,Imperial Value,AZN001,https://exchange.imperialhealthplan.com/arizona/hmo-exchange/online-provider-directory/,Individual,No
2026,AZ,86830,HIOS,2025-10-15,Arizona PPO Dental Network,AZN001,https://www.cigna.com/ifp-providers,Individual,Yes
2026,AZ,91450,HIOS,2025-10-15,Premier,AZN001,https://www.ambetterhealth.com/en/az/findadoc,Individual,No
2026,AZ,97667,HIOS,2025-10-15,Arizona Connect Network,AZN001,https://www.cigna.com/ifp-providers,Individual,No
2026,DE,26018,SERFF,2026-07-21,Delta Dental PPO Individual,DEN001,https://www.deltadentalins.com/find-a-dentist,Individual,Yes
2026,DE,64004,SERFF,2025-10-15,Premier,DEN001,https://www.ambetterhealth.com/en/de/findadoc,Individual,No
2026,DE,67775,SERFF,2025-10-15,DDS DHMO,DEN001,https://www.dominionnational.com/find-a-dentist,Individual,Yes
2026,DE,67775,SERFF,2025-10-15,ELITE PPO,DEN002,https://www.dominionnational.com/find-a-dentist,Individual,Yes
2026,DE,72760,SERFF,2025-11-10,ACNEXT DE HMO,DEN001,https://amerihealthcaritasnext.healthsparq.com/healthsparq/public/#/one/city=&state=&postalCode=&country=&insurerCode=ACNEXT_I&brandCode=ACNEXT&alphaPrefix=&bcbsaProductId=&productCode=DEEX,Individual,No
2026,DE,76168,SERFF,2025-10-15,Highmark DE PPO,DEN001,https://findcare.app/healthsparq/public/#/one/insurerCode=FINDCARE_I&brandCode=HMBCBS&productCode=5335,Individual,No
2026,FL,13887,HIOS,2025-10-28,22 Health,FLN001,https://22healthplan.com/findaprovider,Individual,No
2026,FL,15833,HIOS,2026-02-03,DentalGuard Preferred - Individual,FLN001,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,FL,15833,HIOS,2026-02-03,Managed DentalGuard - Individual,FLN002,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,FL,15980,HIOS,2025-10-15,HumanaDental PPO/Traditional Preferred,FLN001,https://www.humana.com/finder/search?customerId=1085&pfpkey=317,Individual,Yes
2026,FL,16842,HIOS,2025-10-15,Network Blue,FLN001,https://providersearch.floridablue.com/visitor/ffm/#/?ffmPlanCode=FFMBOPT,Individual,No
2026,FL,16842,HIOS,2025-10-15,BlueSelect,FLN002,https://providersearch.floridablue.com/visitor/ffm/#/?ffmPlanCode=FFMBSC,Individual,No
2026,FL,17121,HIOS,2025-11-10,BEST Life and Health National Network,FLN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,FL,19898,HIOS,2026-05-26,AvMed HIX Network,FLN001,https://avmed.healthsparq.com/healthsparq/public/#/one/insurerCode=AVMED_I&brandCode=AVMED,Individual,No
2026,FL,21525,HIOS,2025-10-28,Individual Florida HMO,FLN002,https://www.hioscar.com/search/?networkId=066&year=2026,Individual,No
2026,FL,21525,HIOS,2025-10-28,Individual Florida HMO Broad,FLN003,https://www.hioscar.com/search/?networkId=070&year=2026,Individual,No
2026,FL,30115,HIOS,2025-11-04,BlueDental Choice PPO,FLN001,https://floridabluedental.com/members/find-a-dentist,Individual,Yes
2026,FL,30115,HIOS,2025-11-04,BlueDental Copayment PPO,FLN002,https://floridabluedental.com/members/find-a-dentist,Individual,Yes
2026,FL,30252,HIOS,2025-10-15,BlueCare,FLN001,https://providersearch.floridablue.com/visitor/ffm/#/?ffmPlanCode=FFMBC,Individual,No
2026,FL,30252,HIOS,2025-10-15,myBlue,FLN002,https://providersearch.floridablue.com/visitor/ffm/#/?ffmPlanCode=FFMMBI,Individual,No
2026,FL,36194,HIOS,2026-02-03,Health First Individual,FLN001,https://hf.org/MP_directory_2026,Individual,No
2026,FL,36194,HIOS,2026-02-03,Health First Value,FLN002,https://hf.org/MP_directory_2026,Individual,No
2026,FL,43274,HIOS,2025-10-15,Smile Now Florida - Period PPO,FLN001,https://www.solsticecare.com/provider-search.aspx,Individual,Yes
2026,FL,43274,HIOS,2025-10-15,EssentialSmile Florida - Total Care,FLN002,https://www.solsticecare.com/provider-search.aspx,Individual,Yes
2026,FL,44228,HIOS,2025-10-28,Wellpoint Florida Essential and Pharmacy Base Network,FLN001,https://www.wellpoint.com/find-care/?alphaprefix=3322,Individual,No
2026,FL,44228,HIOS,2025-10-28,Wellpoint Florida Essential and RX Choice Tiered Network,FLN002,https://www.wellpoint.com/find-care/?alphaprefix=3322,Individual,No
2026,FL,44228,HIOS,2025-10-28,"Wellpoint Florida Essential, Dental Prime, and RX Choice Tiered Network",FLN003,https://www.wellpoint.com/find-care/?alphaprefix=3323,Individual,No
2026,FL,48121,HIOS,2025-11-04,Florida Connect Network,FLN001,https://www.cigna.com/ifp-providers,Individual,No
2026,FL,48121,HIOS,2025-11-04,Florida PPO Dental Network,FLN002,https://www.cigna.com/ifp-providers,Individual,Yes
2026,FL,48129,HIOS,2025-10-15,Renaissance Dental,FLN001,https://www.myrenproviders.com/,Individual,Yes
2026,FL,49004,HIOS,2025-10-15,Premier,FLN001,https://www.ambetterhealth.com/en/fl/findadoc,Individual,No
2026,FL,54172,HIOS,2025-11-10,Molina Marketplace,FLN001,https://molina.sapphirethreesixtyfive.com//?ci=fl-marketplace,Individual,No
2026,FL,54172,HIOS,2025-11-10,Molina Marketplace Tiered,FLN002,https://molina.sapphirethreesixtyfive.com//?ci=fl-marketplace,Individual,No
2026,FL,56503,HIOS,2025-10-15,FHCP HMO Individual Network,FLN001,http://www.fhcp.com/find-providers/physician,Individual,No
2026,FL,59667,HIOS,2025-10-15,FL Marketplace  Network,FLN001,https://www.dentaquest.com/en/find-a-dentist,Individual,Yes
2026,FL,66966,HIOS,2025-10-28,"Full Medical, CVS Limited",FLN002,https://capitalhealth.com/provider-directory/,Individual,No
2026,FL,67926,HIOS,2025-11-10,ACNEXT FL HMO,FLN001,https://amerihealthcaritasnext.healthsparq.com/healthsparq/public/#/one/city=&state=&postalCode=&country=&insurerCode=ACNEXT_I&brandCode=ACNEXT&alphaPrefix=&bcbsaProductId=&productCode=FLEX,Individual,No
2026,FL,68398,HIOS,2025-10-15,Individual Exchange Benefit Plan Network,FLN011,https://www.uhc.com/xfldocfindg2026,Individual,No
